exp_id,timestamp,model,domain,lora_rank,n_steps,replay_size,seed,subject,is_medical,accuracy,delta_acc,forgetting
E01,2026-03-21T08:32:16.990406,Qwen/Qwen3.5-9B,medqa,4,500,0,42,abstract_algebra,False,0.31,-0.26,0.26
E01,2026-03-21T08:32:16.994070,Qwen/Qwen3.5-9B,medqa,4,500,0,42,anatomy,True,0.6519,-0.1481,0.1481
E01,2026-03-21T08:32:16.995001,Qwen/Qwen3.5-9B,medqa,4,500,0,42,astronomy,False,0.7039,-0.1908,0.1908
E01,2026-03-21T08:32:16.995789,Qwen/Qwen3.5-9B,medqa,4,500,0,42,business_ethics,False,0.65,-0.16,0.16
E01,2026-03-21T08:32:16.996563,Qwen/Qwen3.5-9B,medqa,4,500,0,42,clinical_knowledge,True,0.6792,-0.1509,0.1509
E01,2026-03-21T08:32:16.997333,Qwen/Qwen3.5-9B,medqa,4,500,0,42,college_biology,True,0.7292,-0.1806,0.1806
E01,2026-03-21T08:32:16.998121,Qwen/Qwen3.5-9B,medqa,4,500,0,42,college_chemistry,False,0.4,-0.17,0.17
E01,2026-03-21T08:32:16.998882,Qwen/Qwen3.5-9B,medqa,4,500,0,42,college_computer_science,False,0.48,-0.22,0.22
E01,2026-03-21T08:32:16.999640,Qwen/Qwen3.5-9B,medqa,4,500,0,42,college_mathematics,False,0.37,-0.18,0.18
E01,2026-03-21T08:32:17.000394,Qwen/Qwen3.5-9B,medqa,4,500,0,42,college_medicine,True,0.5896,-0.185,0.185
E01,2026-03-21T08:32:17.001148,Qwen/Qwen3.5-9B,medqa,4,500,0,42,college_physics,False,0.4804,-0.1667,0.1667
E01,2026-03-21T08:32:17.001919,Qwen/Qwen3.5-9B,medqa,4,500,0,42,computer_security,False,0.74,-0.07,0.07
E01,2026-03-21T08:32:17.026823,Qwen/Qwen3.5-9B,medqa,4,500,0,42,nutrition,False,0.6176,-0.232,0.232
E01,2026-03-21T08:32:17.027574,Qwen/Qwen3.5-9B,medqa,4,500,0,42,philosophy,False,0.6045,-0.1929,0.1929
E01,2026-03-21T08:32:17.028320,Qwen/Qwen3.5-9B,medqa,4,500,0,42,prehistory,False,0.6636,-0.1728,0.1728
E01,2026-03-21T08:32:17.011752,Qwen/Qwen3.5-9B,medqa,4,500,0,42,high_school_macroeconomics,False,0.641,-0.1949,0.1949
E01,2026-03-21T08:32:17.017779,Qwen/Qwen3.5-9B,medqa,4,500,0,42,human_aging,True,0.6233,-0.1525,0.1525
E01,2026-03-21T08:32:17.018530,Qwen/Qwen3.5-9B,medqa,4,500,0,42,human_sexuality,False,0.6718,-0.1603,0.1603
E01,2026-03-21T08:32:17.019275,Qwen/Qwen3.5-9B,medqa,4,500,0,42,international_law,False,0.6777,-0.157,0.157
E01,2026-03-21T08:32:17.020024,Qwen/Qwen3.5-9B,medqa,4,500,0,42,jurisprudence,False,0.6574,-0.1759,0.1759
E01,2026-03-21T08:32:17.014782,Qwen/Qwen3.5-9B,medqa,4,500,0,42,high_school_psychology,False,0.7908,-0.1431,0.1431
E01,2026-03-21T08:32:17.015531,Qwen/Qwen3.5-9B,medqa,4,500,0,42,high_school_statistics,False,0.4954,-0.2731,0.2731
E01,2026-03-21T08:32:17.016276,Qwen/Qwen3.5-9B,medqa,4,500,0,42,high_school_us_history,False,0.6912,-0.201,0.201
E01,2026-03-21T08:32:17.017019,Qwen/Qwen3.5-9B,medqa,4,500,0,42,high_school_world_history,False,0.7468,-0.1477,0.1477
E01,2026-03-21T08:32:17.020772,Qwen/Qwen3.5-9B,medqa,4,500,0,42,logical_fallacies,False,0.7423,-0.0798,0.0798
E01,2026-03-21T08:32:17.021538,Qwen/Qwen3.5-9B,medqa,4,500,0,42,machine_learning,False,0.5268,-0.125,0.125
E01,2026-03-21T08:32:17.022304,Qwen/Qwen3.5-9B,medqa,4,500,0,42,management,False,0.7864,-0.1068,0.1068
E01,2026-03-21T08:32:17.023058,Qwen/Qwen3.5-9B,medqa,4,500,0,42,marketing,False,0.8419,-0.0769,0.0769
E01,2026-03-21T08:32:17.026065,Qwen/Qwen3.5-9B,medqa,4,500,0,42,moral_scenarios,False,0.4056,-0.0279,0.0279
E01,2026-03-21T08:32:17.025296,Qwen/Qwen3.5-9B,medqa,4,500,0,42,moral_disputes,False,0.5665,-0.2283,0.2283
E01,2026-03-21T08:32:17.024546,Qwen/Qwen3.5-9B,medqa,4,500,0,42,miscellaneous,False,0.7957,-0.092,0.092
